transaction_id,date,customer_id,amount,category,region,payment_method,merchant_name
TXN_004236,2024-01-03,CUST_5524,1869.88,Travel,North,Direct Debit,Cloud Services Inc
TXN_004449,2024-01-03,CUST_7761,968.95,Utilities,North,Transfer,Industrial Supply Co
TXN_004993,2024-01-03,CUST_6214,834.71,Marketing,South,Direct Debit,Power Supply Co
TXN_005138,2024-01-03,CUST_5174,1657.68,Marketing,North,Transfer,Advisory Partners
TXN_005232,2024-01-03,CUST_6077,523.88,Legal,East,Cash,Conference Center
TXN_005417,2024-01-03,CUST_1786,1139.72,Marketing,West,Transfer,Advisory Partners
TXN_005525,2024-01-03,CUST_1545,723.03,Marketing,East,Card,Advisory Partners
TXN_006790,2024-01-03,CUST_5749,242.47,Office Supplies,North,Card,Stationary World
TXN_006872,2024-01-03,CUST_6917,613.48,maintenance,South,Direct Debit,Maintenance Services
TXN_007325,2024-01-03,CUST_4475,768.79,Equipment,North,Cash,Cloud Services Inc
TXN_007560,2024-01-03,CUST_3317,1569.74,IT Services,East,Transfer,Advisory Partners
TXN_008200,2024-01-03,CUST_2410,1362.23,Equipment,North,Direct Debit,Maintenance Services
TXN_009251,2024-01-03,CUST_9691,1718.84,Travel,West,Cash,Conference Center
TXN_009371,2024-01-03,CUST_9532,1243.52,equipment,North,Cash,Marketing Agency Ltd
TXN_009572,2024-01-03,CUST_7877,762.06,Office Supplies,North,Card,Learning Academy
TXN_009856,2024-01-03,CUST_9408,251.56,Marketing,East,Transfer,
TXN_000259,2024-01-04,CUST_4436,859.34,IT Services,South,Cash,
TXN_000420,2024-01-04,CUST_8723,1392.04,Legal,East,Transfer,Conference Center
TXN_000519,2024-01-04,CUST_2324,7517.47,IT Services,East,Card,Legal Advisors
TXN_001337,2024-01-04,CUST_2007,1201.54,Travel,West,Transfer,Conference Center
TXN_002279,2024-01-04,CUST_4867,859.93,Training,West,Card,Cloud Services Inc
TXN_002453,2024-01-04,CUST_5790,1069.01,Consulting,East,Transfer,
TXN_003578,2024-01-04,CUST_7314,1905.97,Consulting,North,Direct Debit,Marketing Agency Ltd
TXN_004007,2024-01-04,CUST_2756,1141.68,IT Services,West,Transfer,Marketing Agency Ltd
TXN_004135,2024-01-04,CUST_5298,1105.44,marketing,South,Cash,Power Supply Co
TXN_004424,2024-01-04,CUST_2161,964.97,Marketing,South,Transfer,Software Vendor
TXN_004494,2024-01-04,CUST_5673,72.54,Utilities,North,Transfer,British Airways
TXN_004511,2024-01-04,CUST_8189,1008.03,training,East,Transfer,Industrial Supply Co
TXN_004877,2024-01-04,CUST_7683,1142.71,IT Services,East,Transfer,Software Vendor
TXN_004994,2024-01-04,CUST_5712,1855.7,IT Services,North,Cash,British Airways
TXN_005162,2024-01-04,CUST_7468,824.99,Travel,West,Transfer,British Airways
TXN_005392,2024-01-04,CUST_1556,321.26,Consulting,North,Card,British Airways
TXN_005586,2024-01-04,CUST_3330,,IT Services,West,Cash,Office Depot
TXN_006015,2024-01-04,CUST_1954,1879.99,Equipment,Wst,Transfer,Software Vendor
TXN_006027,2024-01-04,CUST_1354,788.99,Training,East,Cash,Maintenance Services
TXN_006699,2024-01-04,CUST_2221,233.52,Travel,West,Card,City Hotel
TXN_006762,2024-01-04,CUST_4771,1858.22,Maintenance,North,Cash,City Hotel
TXN_007084,2024-01-04,CUST_8213,804.01,,North,Cash,Maintenance Services
TXN_007270,2024-01-04,CUST_6141,1128.34,IT Services,South,Cash,Conference Center
TXN_007795,2024-01-04,CUST_6872,1053.71,Legal,North,Transfer,British Airways
TXN_008268,2024-01-04,CUST_6013,114.12,Maintenance,South,Transfer,City Hotel
TXN_008349,2024-01-04,CUST_6967,,Training,West,Cash,Software Vendor
TXN_008851,2024-01-04,CUST_4185,1997.93,IT Services,North,Card,Tech Solutions Ltd
TXN_009086,2024-01-04,CUST_4483,1662.38,IT Services,North,Card,Power Supply Co
TXN_009364,2024-01-04,CUST_5341,,IT Services,North,Transfer,Maintenance Services
TXN_009665,2024-01-04,CUST_4845,760.43,,North,Direct Debit,Learning Academy
TXN_009738,2024-01-04,CUST_7998,1675.57,equipment,West,Direct Debit,City Hotel
TXN_009772,2024-01-04,CUST_6715,107.84,,Est,Cash,Stationary World
TXN_000311,2024-01-05,CUST_8206,1191.63,Utilities,East,Transfer,Maintenance Services
TXN_000639,2024-01-05,CUST_1770,322.57,Travel,North,Card,Power Supply Co
TXN_001033,2024-01-05,CUST_9966,1820.28,IT Services,West,Transfer,Maintenance Services
TXN_001832,2024-01-05,CUST_6962,1967.75,legal,North,Cash,Office Depot
TXN_001889,2024-01-05,CUST_2884,1828.37,Marketing,South,Cash,Maintenance Services
TXN_002572,2024-01-05,CUST_2842,,Travel,East,Transfer,
TXN_002796,2024-01-05,CUST_5897,570.27,Marketing,South,Card,Stationary World
TXN_003832,2024-01-05,CUST_6047,19072.98,Utilities,North,Cash,Stationary World
TXN_004435,2024-01-05,CUST_4178,1379.09,Legal,South,Direct Debit,Advisory Partners
TXN_004592,2024-01-05,CUST_7828,1930.95,,North,Cash,Maintenance Services
TXN_004745,2024-01-05,CUST_6811,,Equipment,South,Card,Industrial Supply Co
TXN_005833,2024-01-05,CUST_4645,868.78,,East,Transfer,Legal Advisors
TXN_006857,2024-01-05,CUST_5911,17657.82,Marketing,North,Cash,City Hotel
TXN_008224,2024-01-05,CUST_1929,645.28,Office Supplies,East,Card,
TXN_008808,2024-01-05,CUST_9464,979.87,Office Supplies,South,Transfer,Legal Advisors
TXN_009308,2024-01-05,CUST_5310,1039.57,Consulting,West,Card,Conference Center
TXN_000477,2024-01-06,CUST_9335,1300.03,Travel,East,Cash,Conference Center
TXN_000554,2024-01-06,CUST_2256,626.74,Legal,West,Card,Power Supply Co
TXN_000788,2024-01-06,CUST_8489,238.1,Legal,East,Card,Maintenance Services
TXN_000856,2024-01-06,CUST_6142,,IT Services,North,Cash,Marketing Agency Ltd
TXN_001373,2024-01-06,CUST_4342,1430.34,Training,West,Direct Debit,Power Supply Co
TXN_001804,2024-01-06,CUST_4083,19183.02,Office Supplies,South,Direct Debit,Legal Advisors
TXN_002856,2024-01-06,CUST_7919,1196.05,Equipment,East,Card,Maintenance Services
TXN_002860,2024-01-06,CUST_8927,1664.89,Maintenance,North,Card,Learning Academy
TXN_002895,2024-01-06,CUST_1522,1293.47,Marketing,,Cash,Stationary World
TXN_002896,2024-01-06,CUST_6904,11371.78,it services,West,Transfer,Cloud Services Inc
TXN_003533,2024-01-06,CUST_5733,671.7,Marketing,North,Cash,Industrial Supply Co
TXN_004145,2024-01-06,CUST_1584,1665.88,Travel,West,Transfer,City Hotel
TXN_004313,2024-01-06,CUST_7782,1095.68,IT Services,North,Card,Advisory Partners
TXN_004497,2024-01-06,CUST_8452,1903.65,Legal,South,Cash,Stationary World
TXN_005187,2024-01-06,CUST_8867,1354.55,,South,Transfer,Legal Advisors
TXN_005263,2024-01-06,CUST_7362,432.19,Consulting,West,Card,Tech Solutions Ltd
TXN_005304,2024-01-06,CUST_1547,215.2,Training,North,Direct Debit,British Airways
TXN_005882,2024-01-06,CUST_9695,1201.97,Utilities,West,Transfer,Legal Advisors
TXN_005887,2024-01-06,CUST_3376,531.74,Maintenance,East,Transfer,Advisory Partners
TXN_006065,2024-01-06,CUST_4880,431.53,IT Services,North,Transfer,Conference Center
TXN_006271,2024-01-06,CUST_3208,11789.22,IT Services,,Transfer,Marketing Agency Ltd
TXN_006446,2024-01-06,CUST_1701,1830.28,Equipment,East,Transfer,Maintenance Services
TXN_006691,2024-01-06,CUST_5055,1667.61,,East,Card,Office Depot
TXN_007484,2024-01-06,CUST_6173,602.71,Equipment,West,Transfer,Power Supply Co
TXN_008908,2024-01-06,CUST_2941,10813.24,Office Supplies,East,Direct Debit,Maintenance Services
TXN_009025,2024-01-06,CUST_6920,269.12,travel,West,Cash,Software Vendor
TXN_009836,2024-01-06,CUST_3160,388.54,Training,South,Cash,Cloud Services Inc
TXN_000571,2024-01-07,CUST_7819,1226.46,Consulting,South,Direct Debit,Advisory Partners
TXN_001467,2024-01-07,CUST_9619,368.93,legal,West,Direct Debit,Software Vendor
TXN_002618,2024-01-07,CUST_4361,1942.45,Office Supplies,West,Card,Advisory Partners
TXN_003100,2024-01-07,CUST_8618,,IT Services,South,Direct Debit,
TXN_003919,2024-01-07,CUST_5135,951.96,Consulting,East,Transfer,City Hotel
TXN_004055,2024-01-07,CUST_8538,361.86,Equipment,North,Card,Advisory Partners
TXN_004133,2024-01-07,CUST_4783,,Training,West,Cash,Maintenance Services
TXN_004448,2024-01-07,CUST_6300,987.37,Utilities,South,Cash,Stationary World
TXN_004582,2024-01-07,CUST_6594,754.02,IT Services,West,Transfer,Maintenance Services
TXN_004986,2024-01-07,CUST_1622,,Travel,West,Card,Conference Center
TXN_005352,2024-01-07,CUST_9321,971.92,Utilities,North,Cash,Industrial Supply Co
TXN_005798,2024-01-07,CUST_8060,724.01,Marketing,North,Transfer,Industrial Supply Co
TXN_006295,2024-01-07,CUST_4799,1352.08,,South,Transfer,City Hotel
TXN_006540,2024-01-07,CUST_9961,1896.79,Training,South,Direct Debit,
TXN_007277,2024-01-07,CUST_6061,730.47,Consulting,North,Cash,Software Vendor
TXN_007391,2024-01-07,CUST_5287,1912.46,Consulting,West,Transfer,Software Vendor
TXN_007735,2024-01-07,CUST_7449,1243.06,Legal,West,Transfer,Power Supply Co
TXN_007871,2024-01-07,CUST_6756,8760.93,Legal,East,Cash,Industrial Supply Co
TXN_007923,2024-01-07,CUST_3597,1773.83,IT Services,North,Cash,City Hotel
TXN_008194,2024-01-07,CUST_7860,1714.64,Legal,North,Transfer,City Hotel
TXN_008888,2024-01-07,CUST_6756,102.71,Maintenance,North,Direct Debit,Stationary World
TXN_009527,2024-01-07,CUST_5359,1605.54,IT Services,South,Card,Tech Solutions Ltd
TXN_009847,2024-01-07,CUST_9093,656.27,Maintenance,South,Direct Debit,Maintenance Services
TXN_000303,2024-01-08,CUST_4009,295.8,Legal,North,Direct Debit,Learning Academy
TXN_000385,2024-01-08,CUST_2679,1790.24,Travel,North,Card,Advisory Partners
TXN_000649,2024-01-08,CUST_4374,333.29,Legal,West,Cash,Cloud Services Inc
TXN_000721,2024-01-08,CUST_2276,1913.05,Equipment,West,Direct Debit,Conference Center
TXN_000936,2024-01-08,CUST_2854,274.82,Consulting,North,Transfer,Software Vendor
TXN_001081,2024-01-08,CUST_8141,175.76,Office Supplies,North,Cash,City Hotel
TXN_001297,2024-01-08,CUST_6068,1490.92,Consulting,South,Card,Office Depot
TXN_001319,2024-01-08,CUST_5795,1177.71,Marketing,West,Transfer,Marketing Agency Ltd
TXN_001508,2024-01-08,CUST_8057,893.06,Legal,East,Card,Marketing Agency Ltd
TXN_001541,2024-01-08,CUST_1374,1295.81,,South,Transfer,Industrial Supply Co
TXN_002100,2024-01-08,CUST_2037,,Maintenance,East,Card,
TXN_002613,2024-01-08,CUST_3070,1829.79,Travel,North,Cash,Industrial Supply Co
TXN_002693,2024-01-08,CUST_7626,1819.91,Office Supplies,West,Direct Debit,Marketing Agency Ltd
TXN_002849,2024-01-08,CUST_7555,1421.3,Training,West,Transfer,Office Depot
TXN_002968,2024-01-08,CUST_3745,1535.22,Maintenance,North,Card,Office Depot
TXN_003076,2024-01-08,CUST_9199,1603.43,Legal,South,Card,Cloud Services Inc
TXN_003150,2024-01-08,CUST_2422,805.01,Office Supplies,Est,Cash,Power Supply Co
TXN_003484,2024-01-08,CUST_3032,315.65,Utilities,East,Cash,Learning Academy
TXN_004367,2024-01-08,CUST_2094,1360.01,Equipment,South,Cash,Learning Academy
TXN_004951,2024-01-08,CUST_6618,1720.81,Equipment,South,Card,British Airways
TXN_005010,2024-01-08,CUST_1178,1244.97,Training,West,Transfer,Software Vendor
TXN_006073,2024-01-08,CUST_4990,1685.31,Marketing,West,Direct Debit,
TXN_006550,2024-01-08,CUST_8766,141.92,Maintenance,South,Card,Industrial Supply Co
TXN_006856,2024-01-08,CUST_1209,1052.09,Office Supplies,West,Direct Debit,Office Depot
TXN_007157,2024-01-08,CUST_3956,1116.9,Office Supplies,West,Transfer,Legal Advisors
TXN_007490,2024-01-08,CUST_9234,434.82,IT Services,North,Transfer,City Hotel
TXN_007732,2024-01-08,CUST_6130,1916.62,,South,Transfer,Learning Academy
TXN_007852,2024-01-08,CUST_5460,762.08,Utilities,,Cash,Conference Center
TXN_008326,2024-01-08,CUST_9399,311.34,Legal,South,Transfer,Stationary World
TXN_008557,2024-01-08,CUST_2709,841.93,Training,South,Transfer,Software Vendor
TXN_008768,2024-01-08,CUST_4186,6209.1,Office Supplies,South,Transfer,Tech Solutions Ltd
TXN_009020,2024-01-08,CUST_4487,1534.71,,North,Cash,Learning Academy
TXN_009173,2024-01-08,CUST_5796,277.29,Legal,South,Cash,Learning Academy
TXN_000515,2024-01-09,CUST_9691,539.4,consulting,West,Transfer,Stationary World
TXN_000708,2024-01-09,CUST_7376,1706.99,,East,Cash,Stationary World
TXN_000926,2024-01-09,CUST_4368,1434.57,Equipment,North,Card,Marketing Agency Ltd
TXN_001128,2024-01-09,CUST_2524,1631.78,equipment,North,Transfer,Software Vendor
TXN_001634,2024-01-09,CUST_4124,1543.46,Office Supplies,South,Direct Debit,Marketing Agency Ltd
TXN_001718,2024-01-09,CUST_9227,478.56,Equipment,South,Card,Cloud Services Inc
TXN_002010,2024-01-09,CUST_4839,1774.69,Travel,South,Transfer,Cloud Services Inc
TXN_002231,2024-01-09,CUST_7164,56.81,Legal,West,Transfer,Marketing Agency Ltd
TXN_002396,2024-01-09,CUST_1459,634.35,Training,West,Transfer,Industrial Supply Co
TXN_002628,2024-01-09,CUST_8611,697.81,Utilities,West,Card,Tech Solutions Ltd
TXN_003212,2024-01-09,CUST_7579,815.39,utilities,East,Card,Cloud Services Inc
TXN_003511,2024-01-09,CUST_1661,75.7,Utilities,East,Transfer,Stationary World
TXN_003695,2024-01-09,CUST_4046,1949.8,Legal,North,Direct Debit,
TXN_003989,2024-01-09,CUST_5204,849.66,,South,Cash,Cloud Services Inc
TXN_004998,2024-01-09,CUST_2140,1713.98,IT Services,South,Cash,
TXN_005118,2024-01-09,CUST_5813,1428.62,travel,West,Cash,British Airways
TXN_005402,2024-01-09,CUST_8543,638.73,Office Supplies,North,Transfer,Industrial Supply Co
TXN_005911,2024-01-09,CUST_6176,249.4,Legal,East,Card,City Hotel
TXN_006562,2024-01-09,CUST_2779,934.27,Training,East,Cash,Conference Center
TXN_006618,2024-01-09,CUST_2438,570.95,maintenance,North,Transfer,Industrial Supply Co
TXN_006768,2024-01-09,CUST_9712,1848.2,,West,Cash,Legal Advisors
TXN_008047,2024-01-09,CUST_8939,1381.33,Utilities,North,Direct Debit,Software Vendor
TXN_008750,2024-01-09,CUST_2883,611.13,Equipment,East,Direct Debit,City Hotel
TXN_008974,2024-01-09,CUST_7010,578.08,Utilities,West,Direct Debit,Cloud Services Inc
TXN_009179,2024-01-09,CUST_3511,810.61,,West,Cash,Power Supply Co
TXN_009391,2024-01-09,CUST_9846,343.91,it services,West,Card,British Airways
TXN_009499,2024-01-09,CUST_1110,,Equipment,East,Direct Debit,Cloud Services Inc
TXN_000128,2024-01-10,CUST_4242,1261.21,,North,Card,Marketing Agency Ltd
TXN_000152,2024-01-10,CUST_2495,1200.02,IT Services,North,Cash,Power Supply Co
TXN_000256,2024-01-10,CUST_2045,15575.32,IT Services,South,Cash,British Airways
TXN_000586,2024-01-10,CUST_1924,1281.58,Consulting,South,Transfer,
TXN_000674,2024-01-10,CUST_6449,1972.84,Training,East,Direct Debit,Cloud Services Inc
TXN_000779,2024-01-10,CUST_7986,754.61,,North,Transfer,Software Vendor
TXN_000844,2024-01-10,CUST_3898,500.43,legal,North,Direct Debit,Industrial Supply Co
TXN_001819,2024-01-10,CUST_8121,1734.9,Training,North,Transfer,British Airways
TXN_002218,2024-01-10,CUST_5000,1991.77,Office Supplies,West,Card,British Airways
TXN_002313,2024-01-10,CUST_7530,630.16,Utilities,North,Direct Debit,Tech Solutions Ltd
TXN_002530,2024-01-10,CUST_6823,927.38,Equipment,West,Transfer,Advisory Partners
TXN_002588,2024-01-10,CUST_2998,1001.13,utilities,East,Cash,British Airways
TXN_002715,2024-01-10,CUST_7538,262.77,Maintenance,North,Card,Power Supply Co
TXN_002904,2024-01-10,CUST_6423,747.5,Office Supplies,South,Direct Debit,Learning Academy
TXN_002955,2024-01-10,CUST_9578,403.57,Travel,South,Transfer,Advisory Partners
TXN_003300,2024-01-10,CUST_1112,897.53,Utilities,East,Cash,Office Depot
TXN_003317,2024-01-10,CUST_1018,174.0,travel,West,Cash,City Hotel
TXN_003389,2024-01-10,CUST_8817,122.36,IT Services,South,Transfer,Industrial Supply Co
TXN_004330,2024-01-10,CUST_6874,10796.91,Maintenance,North,Direct Debit,British Airways
TXN_004374,2024-01-10,CUST_4982,484.38,training,East,Direct Debit,Maintenance Services
TXN_004454,2024-01-10,CUST_8498,267.47,training,East,Transfer,Conference Center
TXN_004520,2024-01-10,CUST_6060,1558.25,Utilities,West,Card,Marketing Agency Ltd
TXN_004750,2024-01-10,CUST_3306,84.09,Travel,North,Direct Debit,Tech Solutions Ltd
TXN_005441,2024-01-10,CUST_8367,713.74,Maintenance,North,Card,Industrial Supply Co
TXN_005893,2024-01-10,CUST_9949,259.04,,East,Card,Advisory Partners
TXN_006003,2024-01-10,CUST_5752,271.28,Maintenance,East,Transfer,
TXN_006341,2024-01-10,CUST_6131,655.64,Office Supplies,West,Direct Debit,Marketing Agency Ltd
TXN_006451,2024-01-10,CUST_8968,919.93,Office Supplies,East,Card,
TXN_006823,2024-01-10,CUST_9067,1516.33,Travel,East,Direct Debit,British Airways
